a	/a/
abaderno	/aβaðeɾno/
abades	/aβaðes/
abadesa	/aβaðesa/
abadesas	/aβaðesas/
abadía	/aβaˈðia/
abadías	/aβaˈðias/
abadiato	/aβaðjato/
abadiatos	/aβaðjatos/
abado	/aβaðo/
abados	/aβaðos/
abáis	/aˈβais/
abaja	/aβaxa/
abajaba	/aβaxaβa/
abajabais	/aβaxaβais/
abajábamos	/aβaˈxaβamos/
abajaban	/aβaxaβan/
abajabas	/aβaxaβas/
abajad	/aβaxað/
abajada	/aβaxaða/
abajadas	/aβaxaðas/
abajado	/aβaxaðo/
abajados	/aβaxaðos/
abajáis	/aβaˈxais/
abajamiento	/aβaxamjento/
abajamientos	/aβaxamjentos/
abajamos	/aβaxamos/
abajan	/aβaxan/
abajando	/aβaxando/
abajar	/aβaxaɾ/
abajará	/aβaxaˈɾa/
abajara	/aβaxaɾa/
abajarais	/aβaxaɾais/
abajáramos	/aβaˈxaɾamos/
abajarán	/aβaxaˈɾan/
abajaran	/aβaxaɾan/
abajarás	/aβaxaˈɾas/
abajaras	/aβaxaɾas/
abajaré	/aβaxaˈɾe/
abajare	/aβaxaɾe/
abajaréis	/aβaxaˈɾeis/
abajareis	/aβaxaɾeis/
abajáremos	/aβaˈxaɾemos/
abajaremos	/aβaxaɾemos/
abajaren	/aβaxaɾen/
abajares	/aβaxaɾes/
abajaría	/aβaxaˈɾia/
abajaríais	/aβaxaˈɾiais/
abajaríamos	/aβaxaˈɾiamos/
abajarían	/aβaxaˈɾian/
abajarías	/aβaxaˈɾias/
abajaron	/aβaxaɾon/
abajas	/aβaxas/
abajase	/aβaxase/
abajaseis	/aβaxaseis/
abajásemos	/aβaˈxasemos/
abajasen	/aβaxasen/
abajases	/aβaxases/
abajaste	/aβaxaste/
abajasteis	/aβaxasteis/
abajé	/aβaˈxe/
abaje	/aβaxe/
abajéis	/aβaˈxeis/
abajemos	/aβaxemos/
abajen	/aβaxen/
abajeña	/aβaxeɲa/
abajeñas	/aβaxeɲas/
abajeño	/aβaxeɲo/
abajeños	/aβaxeɲos/
abajes	/aβaxes/
abajó	/aβaˈxo/
abajo	/aβaxo/
abalancé	/aβalanˈse/
abalance	/aβalanse/
abalancéis	/aβalanˈseis/
abalancemos	/aβalansemos/
abalancen	/aβalansen/
abalances	/aβalanses/
abalanza	/aβalansa/
abalanzaba	/aβalansaβa/
abalanzabais	/aβalansaβais/
abalanzábamos	/aβalanˈsaβamos/
abalanzaban	/aβalansaβan/
abalanzabas	/aβalansaβas/
abalanzad	/aβalansað/
abalanzada	/aβalansaða/
abalanzadas	/aβalansaðas/
abalanzado	/aβalansaðo/
abalanzados	/aβalansaðos/
abalanzáis	/aβalanˈsais/
abalanzamos	/aβalansamos/
abalanzan	/aβalansan/
abalanzando	/aβalansando/
abalanzándome	/aβalanˈsandome/
abalanzándonos	/aβalanˈsandonos/
abalanzándoos	/aβalanˈsandoos/
abalanzándose	/aβalanˈsandose/
abalanzándote	/aβalanˈsandote/
abalanzar	/aβalansaɾ/
abalanzará	/aβalansaˈɾa/
abalanzara	/aβalansaɾa/
abalanzarais	/aβalansaɾais/
abalanzáramos	/aβalanˈsaɾamos/
abalanzarán	/aβalansaˈɾan/
abalanzaran	/aβalansaɾan/
abalanzarás	/aβalansaˈɾas/
abalanzaras	/aβalansaɾas/
abalanzaré	/aβalansaˈɾe/
abalanzare	/aβalansaɾe/
abalanzaréis	/aβalansaˈɾeis/
abalanzareis	/aβalansaɾeis/
abalanzáremos	/aβalanˈsaɾemos/
abalanzaremos	/aβalansaɾemos/
abalanzaren	/aβalansaɾen/
abalanzares	/aβalansaɾes/
abalanzaría	/aβalansaˈɾia/
abalanzaríais	/aβalansaˈɾiais/
abalanzaríamos	/aβalansaˈɾiamos/
abalanzarían	/aβalansaˈɾian/
abalanzarías	/aβalansaˈɾias/
abalanzarme	/aβalansaɾme/
abalanzarnos	/aβalansaɾnos/
abalanzaron	/aβalansaɾon/
abalanzaros	/aβalansaɾos/
abalanzarse	/aβalansaɾse/
abalanzarte	/aβalansaɾte/
abalanzas	/aβalansas/
abalanzase	/aβalansase/
abalanzaseis	/aβalansaseis/
abalanzásemos	/aβalanˈsasemos/
abalanzasen	/aβalansasen/
abalanzases	/aβalansases/
abalanzaste	/aβalansaste/
abalanzasteis	/aβalansasteis/
abalanzó	/aβalanˈso/
abalanzo	/aβalanso/
aballesta	/aβaʎesta/
aballestaba	/aβaʎestaβa/
aballestabais	/aβaʎestaβais/
aballestábamos	/aβaʎeˈstaβamos/
aballestaban	/aβaʎestaβan/
aballestabas	/aβaʎestaβas/
aballestad	/aβaʎestað/
aballestada	/aβaʎestaða/
aballestadas	/aβaʎestaðas/
aballestado	/aβaʎestaðo/
aballestados	/aβaʎestaðos/
aballestáis	/aβaʎeˈstais/
aballestamos	/aβaʎestamos/
aballestan	/aβaʎestan/
aballestando	/aβaʎestando/
aballestar	/aβaʎestaɾ/
aballestará	/aβaʎestaˈɾa/
aballestara	/aβaʎestaɾa/
aballestarais	/aβaʎestaɾais/
aballestáramos	/aβaʎeˈstaɾamos/
aballestarán	/aβaʎestaˈɾan/
aballestaran	/aβaʎestaɾan/
aballestarás	/aβaʎestaˈɾas/
aballestaras	/aβaʎestaɾas/
aballestaré	/aβaʎestaˈɾe/
aballestare	/aβaʎestaɾe/
aballestaréis	/aβaʎestaˈɾeis/
aballestareis	/aβaʎestaɾeis/
aballestáremos	/aβaʎeˈstaɾemos/
aballestaremos	/aβaʎestaɾemos/
aballestaren	/aβaʎestaɾen/
aballestares	/aβaʎestaɾes/
aballestaría	/aβaʎestaˈɾia/
aballestaríais	/aβaʎestaˈɾiais/
aballestaríamos	/aβaʎestaˈɾiamos/
aballestarían	/aβaʎestaˈɾian/
aballestarías	/aβaʎestaˈɾias/
aballestaron	/aβaʎestaɾon/
aballestas	/aβaʎestas/
aballestase	/aβaʎestase/
aballestaseis	/aβaʎestaseis/
aballestásemos	/aβaʎeˈstasemos/
aballestasen	/aβaʎestasen/
aballestases	/aβaʎestases/
aballestaste	/aβaʎestaste/
aballestasteis	/aβaʎestasteis/
aballesté	/aβaʎeˈste/
aballeste	/aβaʎeste/
aballestéis	/aβaʎeˈsteis/
aballestemos	/aβaʎestemos/
aballesten	/aβaʎesten/
aballestes	/aβaʎestes/
aballestó	/aβaʎeˈsto/
aballesto	/aβaʎesto/
abalorio	/aβaloɾjo/
abalorios	/aβaloɾjos/
abaluarta	/aβalwaɾta/
abaluartaba	/aβalwaɾtaβa/
abaluartabais	/aβalwaɾtaβais/
abaluartábamos	/aβalwaˈɾtaβamos/
abaluartaban	/aβalwaɾtaβan/
abaluartabas	/aβalwaɾtaβas/
abaluartad	/aβalwaɾtað/
abaluartada	/aβalwaɾtaða/
abaluartadas	/aβalwaɾtaðas/
abaluartado	/aβalwaɾtaðo/
abaluartados	/aβalwaɾtaðos/
abaluartáis	/aβalwaˈɾtais/
abaluartamos	/aβalwaɾtamos/
abaluartan	/aβalwaɾtan/
abaluartando	/aβalwaɾtando/
abaluartar	/aβalwaɾtaɾ/
abaluartará	/aβalwaɾtaˈɾa/
abaluartara	/aβalwaɾtaɾa/
abaluartarais	/aβalwaɾtaɾais/
abaluartáramos	/aβalwaˈɾtaɾamos/
abaluartarán	/aβalwaɾtaˈɾan/
abaluartaran	/aβalwaɾtaɾan/
abaluartarás	/aβalwaɾtaˈɾas/
abaluartaras	/aβalwaɾtaɾas/
abaluartaré	/aβalwaɾtaˈɾe/
abaluartare	/aβalwaɾtaɾe/
abaluartaréis	/aβalwaɾtaˈɾeis/
abaluartareis	/aβalwaɾtaɾeis/
abaluartáremos	/aβalwaˈɾtaɾemos/
abaluartaremos	/aβalwaɾtaɾemos/
abaluartaren	/aβalwaɾtaɾen/
abaluartares	/aβalwaɾtaɾes/
abaluartaría	/aβalwaɾtaˈɾia/
abaluartaríais	/aβalwaɾtaˈɾiais/
abaluartaríamos	/aβalwaɾtaˈɾiamos/
abaluartarían	/aβalwaɾtaˈɾian/
abaluartarías	/aβalwaɾtaˈɾias/
abaluartaron	/aβalwaɾtaɾon/
abaluartas	/aβalwaɾtas/
abaluartase	/aβalwaɾtase/
abaluartaseis	/aβalwaɾtaseis/
abaluartásemos	/aβalwaˈɾtasemos/
abaluartasen	/aβalwaɾtasen/
abaluartases	/aβalwaɾtases/
abaluartaste	/aβalwaɾtaste/
abaluartasteis	/aβalwaɾtasteis/
abaluarté	/aβalwaˈɾte/
abaluarte	/aβalwaɾte/
abaluartéis	/aβalwaˈɾteis/
abaluartemos	/aβalwaɾtemos/
abaluarten	/aβalwaɾten/
abaluartes	/aβalwaɾtes/
abaluartó	/aβalwaˈɾto/
abaluarto	/aβalwaɾto/
abamos	/aβamos/
aban	/aβan/
abana	/aβana/
abanaba	/aβanaβa/
abanabais	/aβanaβais/
abanábamos	/aβaˈnaβamos/
abanaban	/aβanaβan/
abanabas	/aβanaβas/
abanad	/aβanað/
abanada	/aβanaða/
abanadas	/aβanaðas/
abanado	/aβanaðo/
abanados	/aβanaðos/
abanáis	/aβaˈnais/
abanamos	/aβanamos/
abanan	/aβanan/
abanando	/aβanando/
abanar	/aβanaɾ/
abanará	/aβanaˈɾa/
abanara	/aβanaɾa/
abanarais	/aβanaɾais/
abanáramos	/aβaˈnaɾamos/
abanarán	/aβanaˈɾan/
abanaran	/aβanaɾan/
abanarás	/aβanaˈɾas/
abanaras	/aβanaɾas/
abanaré	/aβanaˈɾe/
abanare	/aβanaɾe/
abanaréis	/aβanaˈɾeis/
abanareis	/aβanaɾeis/
abanáremos	/aβaˈnaɾemos/
abanaremos	/aβanaɾemos/
abanaren	/aβanaɾen/
abanares	/aβanaɾes/
abanaría	/aβanaˈɾia/
abanaríais	/aβanaˈɾiais/
abanaríamos	/aβanaˈɾiamos/
abanarían	/aβanaˈɾian/
abanarías	/aβanaˈɾias/
abanaron	/aβanaɾon/
abanas	/aβanas/
abanase	/aβanase/
abanaseis	/aβanaseis/
abanásemos	/aβaˈnasemos/
abanasen	/aβanasen/
abanases	/aβanases/
abanaste	/aβanaste/
abanasteis	/aβanasteis/
abandera	/aβandeɾa/
abanderaba	/aβandeɾaβa/
abanderabais	/aβandeɾaβais/
abanderábamos	/aβandeˈɾaβamos/
abanderaban	/aβandeɾaβan/
abanderabas	/aβandeɾaβas/
abanderad	/aβandeɾað/
abanderada	/aβandeɾaða/
abanderadas	/aβandeɾaðas/
abanderado	/aβandeɾaðo/
abanderados	/aβandeɾaðos/
abanderáis	/aβandeˈɾais/
abanderamiento	/aβandeɾamjento/
abanderamientos	/aβandeɾamjentos/
abanderamos	/aβandeɾamos/
abanderan	/aβandeɾan/
abanderando	/aβandeɾando/
abanderar	/aβandeɾaɾ/
abanderará	/aβandeɾaˈɾa/
abanderara	/aβandeɾaɾa/
abanderarais	/aβandeɾaɾais/
abanderáramos	/aβandeˈɾaɾamos/
abanderarán	/aβandeɾaˈɾan/
abanderaran	/aβandeɾaɾan/
abanderarás	/aβandeɾaˈɾas/
abanderaras	/aβandeɾaɾas/
abanderaré	/aβandeɾaˈɾe/
abanderare	/aβandeɾaɾe/
abanderaréis	/aβandeɾaˈɾeis/
abanderareis	/aβandeɾaɾeis/
abanderáremos	/aβandeˈɾaɾemos/
abanderaremos	/aβandeɾaɾemos/
abanderaren	/aβandeɾaɾen/
abanderares	/aβandeɾaɾes/
abanderaría	/aβandeɾaˈɾia/
abanderaríais	/aβandeɾaˈɾiais/
abanderaríamos	/aβandeɾaˈɾiamos/
abanderarían	/aβandeɾaˈɾian/
abanderarías	/aβandeɾaˈɾias/
abanderaron	/aβandeɾaɾon/
abanderas	/aβandeɾas/
abanderase	/aβandeɾase/
abanderaseis	/aβandeɾaseis/
abanderásemos	/aβandeˈɾasemos/
abanderasen	/aβandeɾasen/
abanderases	/aβandeɾases/
abanderaste	/aβandeɾaste/
abanderasteis	/aβandeɾasteis/
abanderé	/aβandeˈɾe/
abandere	/aβandeɾe/
abanderéis	/aβandeˈɾeis/
abanderemos	/aβandeɾemos/
abanderen	/aβandeɾen/
abanderes	/aβandeɾes/
abandericé	/aβandeɾiˈse/
abanderice	/aβandeɾise/
abandericéis	/aβandeɾiˈseis/
abandericemos	/aβandeɾisemos/
abandericen	/aβandeɾisen/
abanderices	/aβandeɾises/
abanderiza	/aβandeɾisa/
abanderizaba	/aβandeɾisaβa/
abanderizabais	/aβandeɾisaβais/
abanderizábamos	/aβandeɾiˈsaβamos/
abanderizaban	/aβandeɾisaβan/
abanderizabas	/aβandeɾisaβas/
abanderizad	/aβandeɾisað/
abanderizada	/aβandeɾisaða/
abanderizadas	/aβandeɾisaðas/
abanderizado	/aβandeɾisaðo/
abanderizados	/aβandeɾisaðos/
abanderizáis	/aβandeɾiˈsais/
abanderizamos	/aβandeɾisamos/
abanderizan	/aβandeɾisan/
abanderizando	/aβandeɾisando/
abanderizar	/aβandeɾisaɾ/
abanderizará	/aβandeɾisaˈɾa/
abanderizara	/aβandeɾisaɾa/
abanderizarais	/aβandeɾisaɾais/
abanderizáramos	/aβandeɾiˈsaɾamos/
abanderizarán	/aβandeɾisaˈɾan/
abanderizaran	/aβandeɾisaɾan/
abanderizarás	/aβandeɾisaˈɾas/
abanderizaras	/aβandeɾisaɾas/
abanderizaré	/aβandeɾisaˈɾe/
abanderizare	/aβandeɾisaɾe/
abanderizaréis	/aβandeɾisaˈɾeis/
abanderizareis	/aβandeɾisaɾeis/
abanderizáremos	/aβandeɾiˈsaɾemos/
abanderizaremos	/aβandeɾisaɾemos/
abanderizaren	/aβandeɾisaɾen/
abanderizares	/aβandeɾisaɾes/
abanderizaría	/aβandeɾisaˈɾia/
abanderizaríais	/aβandeɾisaˈɾiais/
abanderizaríamos	/aβandeɾisaˈɾiamos/
abanderizarían	/aβandeɾisaˈɾian/
abanderizarías	/aβandeɾisaˈɾias/
abanderizaron	/aβandeɾisaɾon/
abanderizas	/aβandeɾisas/
abanderizase	/aβandeɾisase/
abanderizaseis	/aβandeɾisaseis/
abanderizásemos	/aβandeɾiˈsasemos/
abanderizasen	/aβandeɾisasen/
abanderizases	/aβandeɾisases/
abanderizaste	/aβandeɾisaste/
abanderizasteis	/aβandeɾisasteis/
abanderizó	/aβandeɾiˈso/
abanderizo	/aβandeɾiso/
abanderó	/aβandeˈɾo/
abandero	/aβandeɾo/
abando	/aβando/
abándome	/aˈβandome/
abandona	/aβandona/
abandonaba	/aβandonaβa/
abandonabais	/aβandonaβais/
abandonábamos	/aβandoˈnaβamos/
abandonaban	/aβandonaβan/
abandonabas	/aβandonaβas/
abandonad	/aβandonað/
abandonada	/aβandonaða/
abandonadas	/aβandonaðas/
abandonado	/aβandonaðo/
abandonados	/aβandonaðos/
abandonáis	/aβandoˈnais/
abandonamiento	/aβandonamjento/
abandonamientos	/aβandonamjentos/
abandonamos	/aβandonamos/
abandonan	/aβandonan/
abandonando	/aβandonando/
abandonándola	/aβandoˈnandola/
abandonándolas	/aβandoˈnandolas/
abandonándole	/aβandoˈnandole/
abandonándoles	/aβandoˈnandoles/
abandonándolo	/aβandoˈnandolo/
abandonándolos	/aβandoˈnandolos/
abandonándome	/aβandoˈnandome/
abandonándonos	/aβandoˈnandonos/
abandonándoos	/aβandoˈnandoos/
abandonándose	/aβandoˈnandose/
abandonándote	/aβandoˈnandote/
abandonar	/aβandonaɾ/
abandonará	/aβandonaˈɾa/
abandonara	/aβandonaɾa/
abandonarais	/aβandonaɾais/
abandonáramos	/aβandoˈnaɾamos/
abandonarán	/aβandonaˈɾan/
abandonaran	/aβandonaɾan/
abandonarás	/aβandonaˈɾas/
abandonaras	/aβandonaɾas/
abandonaré	/aβandonaˈɾe/
abandonare	/aβandonaɾe/
abandonaréis	/aβandonaˈɾeis/
abandonareis	/aβandonaɾeis/
abandonáremos	/aβandoˈnaɾemos/
abandonaremos	/aβandonaɾemos/
abandonaren	/aβandonaɾen/
abandonares	/aβandonaɾes/
abandonaría	/aβandonaˈɾia/
abandonaríais	/aβandonaˈɾiais/
abandonaríamos	/aβandonaˈɾiamos/
abandonarían	/aβandonaˈɾian/
abandonarías	/aβandonaˈɾias/
abandonarla	/aβandonaɾla/
abandonarlas	/aβandonaɾlas/
abandonarle	/aβandonaɾle/
abandonarles	/aβandonaɾles/
abandonarlo	/aβandonaɾlo/
abandonarlos	/aβandonaɾlos/
abandonarme	/aβandonaɾme/
abandonarnos	/aβandonaɾnos/
abandonaron	/aβandonaɾon/
abandonaros	/aβandonaɾos/
abandonarse	/aβandonaɾse/
abandonarte	/aβandonaɾte/
abandonas	/aβandonas/
abandonase	/aβandonase/
abandonaseis	/aβandonaseis/
abandonásemos	/aβandoˈnasemos/
abandonasen	/aβandonasen/
abandonases	/aβandonases/
abandonaste	/aβandonaste/
abandonasteis	/aβandonasteis/
abandoné	/aβandoˈne/
abandone	/aβandone/
abandonéis	/aβandoˈneis/
abandonemos	/aβandonemos/
abandonen	/aβandonen/
abandones	/aβandones/
abandonismo	/aβandonizmo/
abandonismos	/aβandonizmos/
abandonista	/aβandonista/
abandonistas	/aβandonistas/
abandonó	/aβandoˈno/
abandono	/aβandono/
abándonos	/aˈβandonos/
abandonos	/aβandonos/
abándoos	/aˈβandoos/
abándose	/aˈβandose/
abándote	/aˈβandote/
abané	/aβaˈne/
abane	/aβane/
abanéis	/aβaˈneis/
abanemos	/aβanemos/
abanen	/aβanen/
abanera	/aβaneɾa/
abaneras	/aβaneɾas/
abanero	/aβaneɾo/
abaneros	/aβaneɾos/
abanes	/aβanes/
abanica	/aβanika/
abanicaba	/aβanikaβa/
abanicabais	/aβanikaβais/
abanicábamos	/aβaniˈkaβamos/
abanicaban	/aβanikaβan/
abanicabas	/aβanikaβas/
abanicad	/aβanikað/
abanicada	/aβanikaða/
abanicadas	/aβanikaðas/
abanicado	/aβanikaðo/
abanicados	/aβanikaðos/
abanicáis	/aβaniˈkais/
abanicamos	/aβanikamos/
abanican	/aβanikan/
abanicando	/aβanikando/
abanicar	/aβanikaɾ/
abanicará	/aβanikaˈɾa/
abanicara	/aβanikaɾa/
abanicarais	/aβanikaɾais/
abanicáramos	/aβaniˈkaɾamos/
abanicarán	/aβanikaˈɾan/
abanicaran	/aβanikaɾan/
abanicarás	/aβanikaˈɾas/
abanicaras	/aβanikaɾas/
abanicaré	/aβanikaˈɾe/
abanicare	/aβanikaɾe/
abanicaréis	/aβanikaˈɾeis/
abanicareis	/aβanikaɾeis/
abanicáremos	/aβaniˈkaɾemos/
abanicaremos	/aβanikaɾemos/
abanicaren	/aβanikaɾen/
abanicares	/aβanikaɾes/
abanicaría	/aβanikaˈɾia/
abanicaríais	/aβanikaˈɾiais/
abanicaríamos	/aβanikaˈɾiamos/
abanicarían	/aβanikaˈɾian/
abanicarías	/aβanikaˈɾias/
abanicaron	/aβanikaɾon/
abanicas	/aβanikas/
abanicase	/aβanikase/
abanicaseis	/aβanikaseis/
abanicásemos	/aβaniˈkasemos/
abanicasen	/aβanikasen/
abanicases	/aβanikases/
abanicaste	/aβanikaste/
abanicasteis	/aβanikasteis/
abanicazo	/aβanikaso/
abanicazos	/aβanikasos/
abanicó	/aβaniˈko/
abanico	/aβaniko/
abanicos	/aβanikos/
abaniqué	/aβaniˈke/
abanique	/aβanike/
abaniquéis	/aβaniˈkeis/
abaniquemos	/aβanikemos/
abaniquen	/aβaniken/
abaniqueo	/aβanikeo/
abaniqueos	/aβanikeos/
abaniquera	/aβanikeɾa/
abaniqueras	/aβanikeɾas/
abaniquería	/aβanikeˈɾia/
abaniquerías	/aβanikeˈɾias/
abaniquero	/aβanikeɾo/
abaniqueros	/aβanikeɾos/
abaniques	/aβanikes/
abanó	/aβaˈno/
abano	/aβano/
abanto	/aβanto/
abantos	/aβantos/
abar	/aβaɾ/
abará	/aβaˈɾa/
abara	/aβaɾa/
abarais	/aβaɾais/
abáramos	/aˈβaɾamos/
abarán	/aβaˈɾan/
abaran	/aβaɾan/
abarás	/aβaˈɾas/
abaras	/aβaɾas/
abarata	/aβaɾata/
abarataba	/aβaɾataβa/
abaratabais	/aβaɾataβais/
abaratábamos	/aβaɾaˈtaβamos/
abarataban	/aβaɾataβan/
abaratabas	/aβaɾataβas/
abaratad	/aβaɾatað/
abaratada	/aβaɾataða/
abaratadas	/aβaɾataðas/
abaratado	/aβaɾataðo/
abaratados	/aβaɾataðos/
abaratáis	/aβaɾaˈtais/
abaratamiento	/aβaɾatamjento/
abaratamientos	/aβaɾatamjentos/
abaratamos	/aβaɾatamos/
abaratan	/aβaɾatan/
abaratando	/aβaɾatando/
abaratar	/aβaɾataɾ/
abaratará	/aβaɾataˈɾa/
abaratara	/aβaɾataɾa/
abaratarais	/aβaɾataɾais/
abaratáramos	/aβaɾaˈtaɾamos/
abaratarán	/aβaɾataˈɾan/
abarataran	/aβaɾataɾan/
abaratarás	/aβaɾataˈɾas/
abarataras	/aβaɾataɾas/
abarataré	/aβaɾataˈɾe/
abaratare	/aβaɾataɾe/
abarataréis	/aβaɾataˈɾeis/
abaratareis	/aβaɾataɾeis/
abaratáremos	/aβaɾaˈtaɾemos/
abarataremos	/aβaɾataɾemos/
abarataren	/aβaɾataɾen/
abaratares	/aβaɾataɾes/
abarataría	/aβaɾataˈɾia/
abarataríais	/aβaɾataˈɾiais/
abarataríamos	/aβaɾataˈɾiamos/
abaratarían	/aβaɾataˈɾian/
abaratarías	/aβaɾataˈɾias/
abarataron	/aβaɾataɾon/
abaratas	/aβaɾatas/
abaratase	/aβaɾatase/
abarataseis	/aβaɾataseis/
abaratásemos	/aβaɾaˈtasemos/
abaratasen	/aβaɾatasen/
abaratases	/aβaɾatases/
abarataste	/aβaɾataste/
abaratasteis	/aβaɾatasteis/
abaraté	/aβaɾaˈte/
abarate	/aβaɾate/
abaratéis	/aβaɾaˈteis/
abaratemos	/aβaɾatemos/
abaraten	/aβaɾaten/
abarates	/aβaɾates/
abarató	/aβaɾaˈto/
abarato	/aβaɾato/
abarbecha	/aβaɾβetʃa/
abarbechaba	/aβaɾβetʃaβa/
abarbechabais	/aβaɾβetʃaβais/
abarbechábamos	/aβaɾβeˈtʃaβamos/
abarbechaban	/aβaɾβetʃaβan/
abarbechabas	/aβaɾβetʃaβas/
abarbechad	/aβaɾβetʃað/
